,"Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)","Number of new reported cases of human African trypanosomiasis (T.b. rhodesiense)"
"Country","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990"
"Botswana","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Burundi","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Eswatini","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Ethiopia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Kenya","0","0","0","0","0","0","2","0","0","1","0","0","1","0","0","0","11","10","15","22","14","5","2","0","1","2","4","8","91"
"Malawi","15","7","35","30","32","35","18","23","29","39","49","50","58","41","48","70","43","38","35","11","10","7","8","15","31","53","143","195","228"
"Mozambique","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","1","No data","1","No data","No data","No data","No data","No data","No data","No data","16","10","24","7","3"
"Namibia","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Rwanda","0","0","0","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Uganda","4","13","10","28","70","43","71","84","112","129","138","119","261","473","335","338","329","426","300","283","283","217","178","497","342","503","606","832","1417"
"United Republic of Tanzania","0","3","4","2","1","1","4","1","5","14","59","126","127","186","159","113","228","277","350","288","299","354","400","422","319","262","366","177","187"
"Zambia","5","3","4","8","12","6","6","3","8","4","13","10","6","7","9","15","5","4","9","15","No data","No data","3","1","1","1","4","No data","7"
"Zimbabwe","0","1","1","3","3","1","9","4","2","3","0","No data","No data","3","No data","No data","No data","No data","No data","No data","No data","9","No data","No data","1","No data","No data","No data","No data"
